Country Name;Country Code;Tipping_Point_Year;Fertility_At_Tipping_Point;Fertility_Current;Fertility_Current_Year;CO2_At_Tipping_Point;CO2_Current;CO2_Current_Year
Puerto Rico;PRI;1998;2,08;0,941;2023;;;
Tunisia;TUN;1999;2,082;1,832;2023;1,938;2,661;2024,0
Chile;CHL;1999;2,074;1,167;2023;4,009;3,983;2024,0
Iran;IRN;1999;2,089;1,695;2023;5,722;8,656;2024,0
Bahamas;BHS;2000;2,06;1,373;2023;6,257;7,65;2024,0
Saint Kitts and Nevis;KNA;2001;2,082;1,505;2023;3,841;5,542;2024,0
Brazil;BRA;2002;2,081;1,619;2023;1,948;2,278;2024,0
Albania;ALB;2002;2,002;1,348;2023;1,196;1,592;2024,0
Gibraltar;GIB;2002;1,683;1,888;2023;;;
Saint Lucia;LCA;2002;2,032;1,379;2023;2,199;2,987;2024,0
Mongolia;MNG;2003;2,019;2,685;2023;3,146;12,86;2024,0
Costa Rica;CRI;2003;2,084;1,33;2023;1,583;1,708;2024,0
Dominica;DMA;2003;2,075;1,484;2023;1,71;2,58;2024,0
Uruguay;URY;2004;2,093;1,409;2023;1,698;2,354;2024,0
Saint Vincent and the Grenadines;VCT;2004;2,087;1,775;2023;1,948;2,541;2024,0
Curacao;CUW;2004;2,099;1,073;2023;34,157;12,344;2024,0
Brunei;BRN;2005;2,024;1,747;2023;15,124;26,046;2024,0
Wallis and Futuna;WLF;2005;2,07;1,41;2023;1,753;2,699;2024,0
Turks and Caicos Islands;TCA;2006;2,078;1,463;2023;8,597;8,136;2024,0
Jamaica;JAM;2006;2,089;1,358;2023;4,285;2,959;2024,0
United Arab Emirates;ARE;2006;1,958;1,2;2023;24,5;20,131;2024,0
Colombia;COL;2009;2,096;1,645;2023;1,621;1,752;2024,0
Bahrain;BHR;2009;2,047;1,824;2023;23,773;24,27;2024,0
Grenada;GRD;2009;2,078;1,487;2023;2,239;3,216;2024,0
Turkey;TUR;2010;2,08;1,625;2023;4,345;5,865;2024,0
Kuwait;KWT;2010;2,044;1,525;2023;30,482;26,248;2024,0
French Polynesia;PYF;2011;2,061;1,501;2023;3,25;3,275;2024,0
Qatar;QAT;2011;2,07;1,729;2023;45,175;41,271;2024,0
Bhutan;BTN;2012;2,068;1,462;2023;1,603;2,094;2024,0
Cape Verde;CPV;2013;2,067;1,522;2023;0,966;1,131;2024,0
Malaysia;MYS;2013;2,07;1,55;2023;8,009;8,162;2024,0
Maldives;MDV;2014;2,089;1,575;2023;3,189;4,369;2024,0
El Salvador;SLV;2015;2,067;1,775;2023;1,073;1,416;2024,0
New Caledonia;NCL;2015;2,079;1,98;2023;17,222;18,064;2024,0
